subject,tasks
s373,"['ANT', 'CCTHot', 'WATT3', 'stopSignal', 'twoByTwo']"
s607,"['CCTHot', 'WATT3', 'stopSignal', 'twoByTwo']"
s499,"['ANT', 'CCTHot', 'WATT3', 'stopSignal', 'twoByTwo']"
s445,"['stroop', 'ANT', 'CCTHot', 'WATT3', 'stopSignal', 'twoByTwo', 'DPX', 'discountFix', 'motorSelectiveStop']"
s553,"['ANT', 'CCTHot', 'WATT3', 'stopSignal', 'twoByTwo']"
s582,"['ANT', 'CCTHot', 'WATT3', 'stopSignal', 'twoByTwo']"
s588,"['ANT', 'CCTHot', 'WATT3', 'stopSignal', 'twoByTwo', 'DPX', 'discountFix', 'motorSelectiveStop', 'stroop']"
s618,"['DPX', 'motorSelectiveStop']"
s619,"['ANT', 'twoByTwo', 'discountFix', 'motorSelectiveStop']"
s649,"['WATT3', 'twoByTwo']"
